ID;Country;Continent;Price;Highest.point;Lowest.point;Beginner.slopes;Intermediate.slopes;Difficult.slopes;Total.slopes;Longest.run;Snow.cannons;Surface.lifts;Chair.lifts;Gondola.lifts;Total.lifts;Lift.capacity;Child.friendly;Snowparks;Nightskiing;Summer.skiing
1;Norway;Europe;46;1450;620;29;10;4;43;6;325;15;6;0;21;22921;Yes;Yes;Yes;No
2;Norway;Europe;44;1178;800;18;12;4;34;2;100;18;6;0;24;14225;Yes;Yes;Yes;No
3;Austria;Europe;48;2110;650;13;12;1;26;9;123;4;4;3;11;16240;Yes;No;No;No
4;Canada;North America;60;2075;1185;20;50;50;120;7;0;2;5;1;8;9200;Yes;Yes;Yes;No
5;Norway;Europe;45;1030;195;33;7;4;44;6;150;14;3;1;18;21060;Yes;Yes;Yes;No
6;Norway;Europe;43;960;284;25;4;11;40;0;40;7;4;0;11;11900;Yes;Yes;No;No
7;New Zealand;Oceania;61;1980;1300;5;0;5;10;0;0;5;1;0;6;5600;No;No;No;Yes
8;Chile;South America;57;2700;1600;10;15;10;35;13;0;4;6;1;11;11080;Yes;Yes;No;Yes
9;Germany;Europe;22;1385;1030;4;0;0;4;0;0;3;1;0;4;2880;Yes;No;No;No
10;Germany;Europe;20;1554;1300;7;1;0;8;6;0;4;0;0;4;3229;Yes;Yes;Yes;No
11;Canada;North America;67;2134;1052;42;58;42;142;5;11;3;7;0;10;14514;Yes;Yes;No;No
12;Canada;North America;62;2082;1198;13;78;43;134;8;0;6;6;0;12;13895;Yes;Yes;Yes;No
13;Canada;North America;62;2365;1140;20;55;25;100;5;0;3;6;4;13;11890;Yes;Yes;Yes;No
14;Germany;Europe;35;1712;700;8;22;4;34;3;0;16;4;1;21;19100;Yes;No;Yes;No
15;Switzerland;Europe;81;3899;1562;75;220;27;322;16;1060;21;22;20;63;93464;Yes;Yes;No;Yes
16;New Zealand;Oceania;68;1960;1260;4;9;9;22;0;32;2;2;0;4;4520;No;Yes;No;Yes
17;Italy;Europe;54;2518;1236;52;105;18;175;10;630;29;41;14;84;121914;Yes;Yes;No;No
18;Italy;Europe;43;3275;1212;23;94;15;132;8;655;9;9;12;30;31984;Yes;Yes;No;No
19;France;Europe;51;2466;1000;310;210;60;580;0;1074;89;74;11;174;252280;Yes;Yes;Yes;No
20;France;Europe;43;2641;1176;55;83;22;160;11;0;21;18;1;40;53669;Yes;Yes;No;No
21;United Kingdom;Europe;33;775;637;5;9;4;18;0;0;12;1;0;13;9750;No;Yes;Yes;No
22;United States;North America;120;3221;2103;25;95;45;165;4;0;1;14;2;17;32720;Yes;Yes;Yes;No
23;United States;North America;21;2175;2040;1;1;0;2;0;0;3;1;0;4;2220;No;No;No;No
24;France;Europe;39;2437;1164;40;60;20;120;0;0;12;8;4;24;33972;Yes;No;Yes;No
25;United States;North America;98;3707;2774;27;69;25;121;0;0;5;10;0;15;19717;Yes;Yes;No;No
26;United States;North America;119;3185;1924;16;50;50;116;11;0;1;9;3;13;20480;Yes;Yes;No;No
27;United States;North America;97;3049;2080;27;152;71;250;4;480;5;32;4;41;76110;Yes;Yes;Yes;No
28;United Kingdom;Europe;36;655;91;7;10;3;20;0;0;8;3;1;12;10350;Yes;No;No;No
29;United States;North America;83;3790;3286;40;25;40;105;4;0;2;5;0;7;7200;Yes;Yes;No;No
30;New Zealand;Oceania;74;1943;1586;3;4;3;10;1;0;3;4;0;7;8400;Yes;Yes;No;Yes
31;Italy;Europe;39;1550;1082;13;28;5;46;0;0;1;9;3;13;26060;Yes;Yes;Yes;No
32;Italy;Europe;43;2641;1176;55;83;22;160;0;0;21;18;1;40;53669;Yes;Yes;No;No
33;Italy;Europe;46;2798;1816;30;65;20;115;6;0;25;13;6;44;50850;Yes;Yes;Yes;No
34;Italy;Europe;50;2504;770;60;68;22;150;5;0;14;34;17;65;102340;Yes;Yes;Yes;No
35;Austria;Europe;52;1980;740;30;81;4;115;6;600;22;16;11;49;75398;Yes;Yes;No;No
36;Austria;Europe;43;3108;2180;14;4;2;20;5;0;6;2;1;9;13200;Yes;No;No;No
37;Austria;Europe;53;2096;830;140;112;18;270;7;927;21;22;28;71;135104;Yes;Yes;Yes;No
38;Italy;Europe;48;2749;1372;96;220;84;400;7;0;29;35;7;71;96433;Yes;No;Yes;No
39;Austria;Europe;46;1280;670;1;3;0;4;0;0;4;0;1;5;4070;Yes;No;Yes;No
40;Canada;North America;67;2450;1190;20;20;60;100;10;10;1;3;1;5;5250;Yes;No;No;No
41;Andorra;Europe;47;2640;1710;100;77;33;210;6;1032;37;28;7;72;99017;Yes;Yes;Yes;No
42;Switzerland;Europe;48;2490;1454;10;22;8;40;7;14;6;0;1;7;6900;Yes;Yes;No;No
43;Switzerland;Europe;52;2611;1142;6;9;9;24;8;9;7;2;1;10;6640;Yes;Yes;No;No
44;Switzerland;Europe;58;2590;1540;25;13;2;40;6;140;5;5;3;13;15800;Yes;Yes;No;No
45;Switzerland;Europe;54;3016;1343;9;3;12;24;8;0;4;3;3;10;10260;Yes;Yes;No;No
